City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,zambezi,-13.5432,23.1047,301.7,40,83,3.11,ZM,1699890595
83,pala,9.3642,14.9046,303.52,42,70,0.56,TD,1699890595
84,fuerte olimpo,-21.0415,-57.8738,315.92,20,84,5.79,PY,1699890595
85,puerto san carlos,-21.0415,-57.8738,315.92,20,84,5.79,PY,1699890595
86,margaret river,-33.95,115.0667,288.32,92,93,5.77,AU,1699890595
87,anadyr,64.75,177.4833,264.43,78,20,5.0,RU,1699890595
88,al jawf,29.5,38.75,297.9,33,90,2.72,SA,1699890596
89,island harbour,50.724,-1.2758,288.19,79,1,3.13,GB,1699890596
90,abu jibeha,11.4562,31.2285,305.64,29,45,3.23,SD,1699890596
91,invercargill,-46.4,168.35,282.6,96,89,1.34,NZ,1699890596
92,dayton,39.7589,-84.1916,286.91,58,20,4.63,US,1699890596
93,atafu village,-8.5421,-172.5159,302.15,76,32,4.3,TK,1699890597
94,puerto ayora,-0.7393,-90.3518,301.13,89,71,2.24,EC,1699890597
95,nar'yan-mar,67.6713,53.087,265.43,97,99,4.02,RU,1699890597
96,port hedland,-20.3167,118.5667,298.18,78,13,5.66,AU,1699890597
97,dakhla,23.6848,-15.958,296.12,58,41,5.19,EH,1699890597
98,cobh,51.8572,-8.2992,285.73,82,75,8.23,IE,1699890597
99,megion,61.0296,76.1136,267.16,93,6,3.62,RU,1699890598
100,queenstown,-31.8976,26.8753,290.6,48,83,7.05,ZA,1699890598
101,ballina,-28.8667,153.5667,291.36,81,100,1.4,AU,1699890598
102,tual,-5.6667,132.75,300.9,76,54,4.66,ID,1699890598
103,walterboro,32.9052,-80.6668,289.22,72,40,3.6,US,1699890565
104,okahandja,-21.9833,16.9167,304.14,25,85,3.55,NA,1699890598
105,lihue,21.9789,-159.3672,297.92,76,40,7.72,US,1699890559
106,pemangkat,1.1667,108.9667,299.41,85,100,1.1,ID,1699890599
107,saint-denis,48.9167,2.3333,290.5,86,75,8.75,FR,1699890516
108,alice springs,-23.7,133.8833,299.9,41,93,3.09,AU,1699890599
109,thunder bay,48.4001,-89.3168,279.14,61,75,9.26,CA,1699890424
110,kadoma,34.7333,135.5833,285.14,81,22,2.06,JP,1699890599
111,thompson,55.7435,-97.8558,272.24,80,100,5.14,CA,1699890600
112,niksic,42.7731,18.9445,283.07,88,68,0.42,ME,1699890600
113,madang,-5.2246,145.7966,297.94,90,84,1.2,PG,1699890600
114,bilibino,68.0546,166.4372,253.03,97,100,3.73,RU,1699890600
115,nogliki,51.8333,143.1667,268.34,68,93,6.71,RU,1699890600
116,utrik,11.2278,169.8474,301.13,79,100,9.22,MH,1699890601
117,vila franca do campo,37.7167,-25.4333,293.38,87,100,5.92,PT,1699890601
118,likiep,9.8251,169.3107,301.24,81,77,9.21,MH,1699890601
119,happy valley-goose bay,53.3168,-60.3315,272.32,64,75,6.69,CA,1699890601
120,huambo,-12.7761,15.7392,293.26,72,94,1.72,AO,1699890602
121,katsuura,35.1333,140.3,283.74,45,5,3.73,JP,1699890603
122,fandrandava,-21.5208,47.2453,291.62,95,38,1.06,MG,1699890603
123,egilsstadir,65.2653,-14.3948,276.1,87,75,3.09,IS,1699890604
124,san juan bautista,-14.0108,-75.7358,300.78,45,15,2.38,PE,1699890604
125,nova vicosa,-17.8919,-39.3719,303.41,58,16,8.08,BR,1699890600
126,fale old settlement,-9.3852,-171.2468,302.07,76,87,4.5,TK,1699890605
127,santa margherita ligure,44.3346,9.212,290.09,87,93,1.18,IT,1699890605
128,el granada,37.5027,-122.4694,286.68,91,0,0.0,US,1699890605
129,rosarito,32.3333,-117.0333,291.85,45,100,1.02,MX,1699890606
130,nikolayevsk,50.0282,45.4595,282.76,66,100,4.88,RU,1699890606
131,paita,-5.0892,-81.1144,297.14,69,7,5.03,PE,1699890606
132,hasaki,35.7333,140.8333,281.37,42,0,7.78,JP,1699890607
133,joshimath,30.5667,79.5667,284.57,48,94,2.62,IN,1699890607
134,vadso,70.0744,29.7487,265.24,93,75,4.63,NO,1699890607
135,saipan,15.1355,145.701,300.54,89,20,5.66,MP,1699890608
136,misratah,32.3754,15.0925,296.11,62,100,7.56,LY,1699890608
137,vilyuchinsk,52.9306,158.4028,270.89,85,93,3.65,RU,1699890609
138,sitka,57.0531,-135.33,274.09,80,0,1.54,US,1699890609
139,ilulissat,69.2167,-51.1,268.16,58,75,9.26,GL,1699890609
140,punta arenas,-53.15,-70.9167,281.21,57,0,13.89,CL,1699890609
141,herkimer,43.0256,-74.986,277.49,80,76,3.1,US,1699890526
